Zipcode, Latest_File, Last_Updated
02673,results_MA/02673_CI2_120819_14_36_17.csv,12/08/19 14:36
01843,results_MA/01843_CI1_120819_14_35_49.csv,12/08/19 14:35
01376,results_MA/01376_CI4_120819_14_34_37.csv,12/08/19 14:34
01259,results_MA/01259_CI1_120819_14_31_31.csv,12/08/19 14:31
02382,results_MA/02382_CI1_120819_14_32_40.csv,12/08/19 14:32
02668,results_MA/02668_CI2_120819_14_32_13.csv,12/08/19 14:32
01901,results_MA/01901_CI1_121119_15_28_28.csv,12/11/19 15:28
02493,results_MA/02493_CI2_120819_14_35_47.csv,12/08/19 14:35
01531,results_MA/01531_CI1_120819_14_30_07.csv,12/08/19 14:30
02453,results_MA/02453_CI2_120819_14_31_52.csv,12/08/19 14:31
02324,results_MA/02324_CI1_120819_14_31_18.csv,12/08/19 14:31
01951,results_MA/01951_CI1_120819_14_31_27.csv,12/08/19 14:31
01105,results_MA/01105_CI4_120819_14_37_14.csv,12/08/19 14:37
02702,results_MA/02702_CI2_121119_15_29_07.csv,12/11/19 15:29
01922,results_MA/01922_CI1_120819_14_33_10.csv,12/08/19 14:33
01028,results_MA/01028_CI1_121119_15_28_39.csv,12/11/19 15:28
02070,results_MA/02070_CI1_120819_14_32_14.csv,12/08/19 14:32
02201,results_MA/02201_CI2_120819_14_38_20.csv,12/08/19 14:38
01604,results_MA/01604_CI1_120819_14_30_26.csv,12/08/19 14:30
02334,results_MA/02334_CI1_120819_14_34_35.csv,12/08/19 14:34
01518,results_MA/01518_CI1_120819_14_36_03.csv,12/08/19 14:36
01373,results_MA/01373_CI4_121119_15_29_24.csv,12/11/19 15:29
02056,results_MA/02056_CI2_120819_14_32_29.csv,12/08/19 14:32
02474,results_MA/02474_CI2_120819_14_33_02.csv,12/08/19 14:33
01827,results_MA/01827_CI1_120819_14_33_47.csv,12/08/19 14:33
02366,results_MA/02366_CI2_120819_14_32_33.csv,12/08/19 14:32
01747,results_MA/01747_CI1_120819_14_30_52.csv,12/08/19 14:30
02630,results_MA/02630_CI2_120819_14_31_19.csv,12/08/19 14:31
02637,results_MA/02637_CI2_120819_14_30_02.csv,12/08/19 14:30
02536,results_MA/02536_CI2_120819_14_34_16.csv,12/08/19 14:34
01033,results_MA/01033_CI1_120819_14_34_04.csv,12/08/19 14:34
01226,results_MA/01226_CI4_120819_14_37_16.csv,12/08/19 14:37
02346,results_MA/02346_CI2_120819_14_35_09.csv,12/08/19 14:35
01258,results_MA/01258_CI1_121119_15_28_48.csv,12/11/19 15:28
02764,results_MA/02764_CI1_120819_14_32_25.csv,12/08/19 14:32
01985,results_MA/01985_CI1_120819_14_35_28.csv,12/08/19 14:35
01452,results_MA/01452_CI1_120819_14_30_51.csv,12/08/19 14:30
01469,results_MA/01469_CI5_120819_14_38_29.csv,12/08/19 14:38
02556,results_MA/02556_CI2_120819_14_37_01.csv,12/08/19 14:37
01984,results_MA/01984_CI1_121119_15_29_00.csv,12/11/19 15:29
01913,results_MA/01913_CI1_121119_15_29_03.csv,12/11/19 15:29
02465,results_MA/02465_CI2_120819_14_30_52.csv,12/08/19 14:30
02065,results_MA/02065_CI2_121119_15_28_51.csv,12/11/19 15:28
02638,results_MA/02638_CI2_120819_14_33_23.csv,12/08/19 14:33
01030,results_MA/01030_CI4_121119_15_28_45.csv,12/11/19 15:28
02564,results_MA/02564_CI3_120819_14_35_03.csv,12/08/19 14:35
01524,results_MA/01524_CI1_121119_15_28_20.csv,12/11/19 15:28
02642,results_MA/02642_CI2_120819_14_31_17.csv,12/08/19 14:31
01242,results_MA/01242_CI4_120819_14_31_34.csv,12/08/19 14:31
01238,results_MA/01238_CI4_120819_14_32_32.csv,12/08/19 14:32
02301,results_MA/02301_CI1_120819_14_36_57.csv,12/08/19 14:36
01020,results_MA/01020_CI4_120819_14_38_06.csv,12/08/19 14:38
01338,results_MA/01338_CI4_120819_14_35_31.csv,12/08/19 14:35
02467,results_MA/02467_CI2_120819_14_33_11.csv,12/08/19 14:33
02151,results_MA/02151_CI1_121119_15_28_07.csv,12/11/19 15:28
01054,results_MA/01054_CI4_120819_14_35_17.csv,12/08/19 14:35
01254,results_MA/01254_CI4_120819_14_37_28.csv,12/08/19 14:37
01590,results_MA/01590_CI1_120819_14_33_16.csv,12/08/19 14:33
01607,results_MA/01607_CI1_121119_15_28_41.csv,12/11/19 15:28
02723,results_MA/02723_CI1_120819_14_32_44.csv,12/08/19 14:32
01543,results_MA/01543_CI1_120819_14_31_27.csv,12/08/19 14:31
02747,results_MA/02747_CI2_121119_15_29_12.csv,12/11/19 15:29
02122,results_MA/02122_CI2_120819_14_30_27.csv,12/08/19 14:30
01253,results_MA/01253_CI4_120819_14_30_18.csv,12/08/19 14:30
01772,results_MA/01772_CI1_120819_14_32_55.csv,12/08/19 14:32
02717,results_MA/02717_CI2_120819_14_30_24.csv,12/08/19 14:30
01379,results_MA/01379_CI1_120819_14_34_34.csv,12/08/19 14:34
02026,results_MA/02026_CI2_120819_14_33_29.csv,12/08/19 14:33
02494,results_MA/02494_CI2_120819_14_34_57.csv,12/08/19 14:34
01534,results_MA/01534_CI1_120819_14_29_57.csv,12/08/19 14:29
01770,results_MA/01770_CI2_120819_14_31_55.csv,12/08/19 14:31
01227,results_MA/01227_CI4_120819_14_30_35.csv,12/08/19 14:30
02367,results_MA/02367_CI2_120819_14_37_55.csv,12/08/19 14:37
02651,results_MA/02651_CI2_120819_14_29_58.csv,12/08/19 14:29
01108,results_MA/01108_CI4_120819_14_32_15.csv,12/08/19 14:32
01746,results_MA/01746_CI2_121119_15_29_19.csv,12/11/19 15:29
02420,results_MA/02420_CI2_120819_14_34_19.csv,12/08/19 14:34
02093,results_MA/02093_CI1_120819_14_30_30.csv,12/08/19 14:30
01966,results_MA/01966_CI1_120819_14_32_16.csv,12/08/19 14:32
01354,results_MA/01354_CI4_120819_14_31_08.csv,12/08/19 14:31
01098,results_MA/01098_CI4_120819_14_37_43.csv,12/08/19 14:37
01509,results_MA/01509_CI1_120819_14_30_49.csv,12/08/19 14:30
02149,results_MA/02149_CI1_121119_15_27_07.csv,12/11/19 15:27
02661,results_MA/02661_CI2_120819_14_38_11.csv,12/08/19 14:38
02647,results_MA/02647_CI2_120819_14_36_35.csv,12/08/19 14:36
01952,results_MA/01952_CI1_120819_14_38_03.csv,12/08/19 14:38
01886,results_MA/01886_CI1_120819_14_36_44.csv,12/08/19 14:36
01775,results_MA/01775_CI2_120819_14_38_25.csv,12/08/19 14:38
01550,results_MA/01550_CI1_120819_14_37_56.csv,12/08/19 14:37
02375,results_MA/02375_CI1_120819_14_37_03.csv,12/08/19 14:37
02790,results_MA/02790_CI1_120819_14_31_42.csv,12/08/19 14:31
01378,results_MA/01378_CI1_120819_14_31_55.csv,12/08/19 14:31
02134,results_MA/02134_CI2_120819_14_30_25.csv,12/08/19 14:30
02356,results_MA/02356_CI1_121119_15_28_58.csv,12/11/19 15:28
01757,results_MA/01757_CI1_120819_14_38_01.csv,12/08/19 14:38
01432,results_MA/01432_CI1_120819_14_32_27.csv,12/08/19 14:32
01056,results_MA/01056_CI4_120819_14_33_45.csv,12/08/19 14:33
01104,results_MA/01104_CI4_120819_14_34_52.csv,12/08/19 14:34
02018,results_MA/02018_CI1_120819_14_29_59.csv,12/08/19 14:29
01748,results_MA/01748_CI2_120819_14_31_10.csv,12/08/19 14:31
01070,results_MA/01070_CI4_120819_14_30_13.csv,12/08/19 14:30
02574,results_MA/02574_CI2_120819_14_37_34.csv,12/08/19 14:37
02126,results_MA/02126_CI2_120819_14_37_37.csv,12/08/19 14:37
01350,results_MA/01350_CI1_120819_14_33_45.csv,12/08/19 14:33
01880,results_MA/01880_CI2_120819_14_34_25.csv,12/08/19 14:34
01756,results_MA/01756_CI1_120819_14_32_04.csv,12/08/19 14:32
02659,results_MA/02659_CI2_121119_15_29_00.csv,12/11/19 15:29
01701,results_MA/01701_CI2_120819_14_36_37.csv,12/08/19 14:36
01532,results_MA/01532_CI1_121119_15_28_30.csv,12/11/19 15:28
01075,results_MA/01075_CI4_120819_14_33_57.csv,12/08/19 14:33
02766,results_MA/02766_CI1_120819_14_35_58.csv,12/08/19 14:35
01983,results_MA/01983_CI1_120819_14_33_51.csv,12/08/19 14:33
01107,results_MA/01107_CI4_120819_14_33_00.csv,12/08/19 14:33
02358,results_MA/02358_CI1_121119_15_28_43.csv,12/11/19 15:28
01010,results_MA/01010_CI1_120819_14_36_24.csv,12/08/19 14:36
02140,results_MA/02140_CI2_120819_14_36_48.csv,12/08/19 14:36
02116,results_MA/02116_CI2_121119_15_28_42.csv,12/11/19 15:28
01266,results_MA/01266_CI1_120819_14_34_40.csv,12/08/19 14:34
02460,results_MA/02460_CI2_120819_14_30_28.csv,12/08/19 14:30
01032,results_MA/01032_CI1_120819_14_37_07.csv,12/08/19 14:37
01351,results_MA/01351_CI4_120819_14_35_30.csv,12/08/19 14:35
02571,results_MA/02571_CI2_120819_14_30_37.csv,12/08/19 14:30
01519,results_MA/01519_CI1_120819_14_29_50.csv,12/08/19 14:29
02052,results_MA/02052_CI2_120819_14_36_30.csv,12/08/19 14:36
01050,results_MA/01050_CI4_120819_14_34_12.csv,12/08/19 14:34
01101,results_MA/01101_CI4_120819_14_32_33.csv,12/08/19 14:32
01118,results_MA/01118_CI4_120819_14_29_53.csv,12/08/19 14:29
02743,results_MA/02743_CI2_120819_14_30_47.csv,12/08/19 14:30
01339,results_MA/01339_CI1_120819_14_35_04.csv,12/08/19 14:35
01929,results_MA/01929_CI1_121119_15_29_23.csv,12/11/19 15:29
01501,results_MA/01501_CI1_120819_14_30_59.csv,12/08/19 14:30
01504,results_MA/01504_CI1_120819_14_31_00.csv,12/08/19 14:31
02492,results_MA/02492_CI2_120819_14_31_36.csv,12/08/19 14:31
02748,results_MA/02748_CI2_120819_14_30_01.csv,12/08/19 14:30
01001,results_MA/01001_CI4_120819_14_31_57.csv,12/08/19 14:31
01965,results_MA/01965_CI1_121119_15_29_22.csv,12/11/19 15:29
01077,results_MA/01077_CI4_120819_14_34_55.csv,12/08/19 14:34
01507,results_MA/01507_CI1_120819_14_37_40.csv,12/08/19 14:37
01915,results_MA/01915_CI1_120819_14_30_34.csv,12/08/19 14:30
02777,results_MA/02777_CI1_120819_14_31_15.csv,12/08/19 14:31
01431,results_MA/01431_CI5_121119_15_29_10.csv,12/11/19 15:29
01773,results_MA/01773_CI2_120819_14_33_42.csv,12/08/19 14:33
02155,results_MA/02155_CI1_121119_15_28_44.csv,12/11/19 15:28
01760,results_MA/01760_CI2_121119_15_28_49.csv,12/11/19 15:28
01034,results_MA/01034_CI4_121119_15_29_20.csv,12/11/19 15:29
02458,results_MA/02458_CI2_121119_15_28_34.csv,12/11/19 15:28
01585,results_MA/01585_CI1_120819_14_30_33.csv,12/08/19 14:30
01568,results_MA/01568_CI1_120819_14_33_27.csv,12/08/19 14:33
01863,results_MA/01863_CI1_120819_14_36_04.csv,12/08/19 14:36
01742,results_MA/01742_CI2_120819_14_31_34.csv,12/08/19 14:31
02127,results_MA/02127_CI2_120819_14_32_47.csv,12/08/19 14:32
01031,results_MA/01031_CI1_120819_14_36_08.csv,12/08/19 14:36
01040,results_MA/01040_CI4_120819_14_36_38.csv,12/08/19 14:36
02762,results_MA/02762_CI1_120819_14_35_05.csv,12/08/19 14:35
01364,results_MA/01364_CI1_121119_15_29_09.csv,12/11/19 15:29
01062,results_MA/01062_CI1_120819_14_31_04.csv,12/08/19 14:31
01529,results_MA/01529_CI1_120819_14_37_48.csv,12/08/19 14:37
01862,results_MA/01862_CI1_120819_14_30_14.csv,12/08/19 14:30
01566,results_MA/01566_CI1_120819_14_34_38.csv,12/08/19 14:34
01824,results_MA/01824_CI1_120819_14_38_05.csv,12/08/19 14:38
01109,results_MA/01109_CI4_120819_14_34_01.csv,12/08/19 14:34
02148,results_MA/02148_CI1_120819_14_30_15.csv,12/08/19 14:30
01718,results_MA/01718_CI2_120819_14_32_58.csv,12/08/19 14:32
02446,results_MA/02446_CI2_120819_14_33_35.csv,12/08/19 14:33
01222,results_MA/01222_CI1_120819_14_36_18.csv,12/08/19 14:36
01011,results_MA/01011_CI4_120819_14_34_07.csv,12/08/19 14:34
01821,results_MA/01821_CI1_121119_15_28_31.csv,12/11/19 15:28
01970,results_MA/01970_CI1_120819_14_31_06.csv,12/08/19 14:31
02535,results_MA/02535_CI2_120819_14_33_38.csv,12/08/19 14:33
01475,results_MA/01475_CI1_120819_14_38_10.csv,12/08/19 14:38
01561,results_MA/01561_CI1_121119_15_28_55.csv,12/11/19 15:28
02576,results_MA/02576_CI2_120819_14_32_50.csv,12/08/19 14:32
01095,results_MA/01095_CI1_120819_14_35_56.csv,12/08/19 14:35
01510,results_MA/01510_CI1_121119_15_29_08.csv,12/11/19 15:29
01844,results_MA/01844_CI1_120819_14_34_30.csv,12/08/19 14:34
01094,results_MA/01094_CI1_120819_14_34_31.csv,12/08/19 14:34
01081,results_MA/01081_CI1_120819_14_32_56.csv,12/08/19 14:32
02584,results_MA/02584_CI3_120819_14_37_52.csv,12/08/19 14:37
01088,results_MA/01088_CI4_120819_14_35_12.csv,12/08/19 14:35
01832,results_MA/01832_CI1_121119_15_29_28.csv,12/11/19 15:29
02144,results_MA/02144_CI2_120819_14_37_06.csv,12/08/19 14:37
02351,results_MA/02351_CI1_121119_15_27_09.csv,12/11/19 15:27
02152,results_MA/02152_CI1_120819_14_36_21.csv,12/08/19 14:36
01008,results_MA/01008_CI4_120819_14_33_19.csv,12/08/19 14:33
02145,results_MA/02145_CI2_121119_15_29_05.csv,12/11/19 15:29
02190,results_MA/02190_CI1_120819_14_33_20.csv,12/08/19 14:33
02038,results_MA/02038_CI1_120819_14_37_50.csv,12/08/19 14:37
02067,results_MA/02067_CI1_120819_14_36_15.csv,12/08/19 14:36
02025,results_MA/02025_CI1_120819_14_33_07.csv,12/08/19 14:33
01745,results_MA/01745_CI1_121119_15_27_15.csv,12/11/19 15:27
02115,results_MA/02115_CI2_120819_14_32_23.csv,12/08/19 14:32
01111,results_MA/01111_CI4_120819_14_37_54.csv,12/08/19 14:37
01982,results_MA/01982_CI1_120819_14_31_02.csv,12/08/19 14:31
02114,results_MA/02114_CI2_120819_14_31_24.csv,12/08/19 14:31
01581,results_MA/01581_CI1_120819_14_37_22.csv,12/08/19 14:37
01097,results_MA/01097_CI4_120819_14_30_59.csv,12/08/19 14:30
01115,results_MA/01115_CI4_120819_14_37_05.csv,12/08/19 14:37
01535,results_MA/01535_CI1_120819_14_36_50.csv,12/08/19 14:36
01002,results_MA/01002_CI4_120819_14_34_50.csv,12/08/19 14:34
01508,results_MA/01508_CI1_120819_14_31_11.csv,12/08/19 14:31
01012,results_MA/01012_CI4_120819_14_30_32.csv,12/08/19 14:30
02540,results_MA/02540_CI2_120819_14_32_27.csv,12/08/19 14:32
02333,results_MA/02333_CI1_120819_14_31_48.csv,12/08/19 14:31
01252,results_MA/01252_CI1_120819_14_32_42.csv,12/08/19 14:32
01826,results_MA/01826_CI1_120819_14_32_38.csv,12/08/19 14:32
01013,results_MA/01013_CI4_120819_14_32_16.csv,12/08/19 14:32
