Zipcode, Latest_File, Last_Updated
01879,results_MA/01879_CI1_120719_16_32_53.csv,12/07/19 16:32
02367,results_MA/02367_CI2_120719_16_32_54.csv,12/07/19 16:32
01119,results_MA/01119_CI4_120719_16_32_54.csv,12/07/19 16:32
01420,results_MA/01420_CI5_120719_16_32_55.csv,12/07/19 16:32
01851,results_MA/01851_CI1_120719_16_32_55.csv,12/07/19 16:32
01604,results_MA/01604_CI1_120719_16_32_55.csv,12/07/19 16:32
01936,results_MA/01936_CI1_120719_16_32_56.csv,12/07/19 16:32
02025,results_MA/02025_CI1_120719_16_32_56.csv,12/07/19 16:32
01081,results_MA/01081_CI1_120719_16_32_57.csv,12/07/19 16:32
02641,results_MA/02641_CI2_120719_16_32_57.csv,12/07/19 16:32
02180,results_MA/02180_CI2_120719_16_32_58.csv,12/07/19 16:32
02666,results_MA/02666_CI2_120719_16_32_58.csv,12/07/19 16:32
02301,results_MA/02301_CI1_120719_16_32_59.csv,12/07/19 16:32
01880,results_MA/01880_CI2_120719_16_32_59.csv,12/07/19 16:32
01843,results_MA/01843_CI1_120719_16_33_00.csv,12/07/19 16:33
01111,results_MA/01111_CI4_120719_16_33_00.csv,12/07/19 16:33
02652,results_MA/02652_CI2_120719_16_33_01.csv,12/07/19 16:33
02601,results_MA/02601_CI2_120719_16_33_01.csv,12/07/19 16:33
01254,results_MA/01254_CI4_120719_16_33_02.csv,12/07/19 16:33
01089,results_MA/01089_CI4_120719_16_33_02.csv,12/07/19 16:33
01368,results_MA/01368_CI1_120719_16_33_03.csv,12/07/19 16:33
01523,results_MA/01523_CI1_120719_16_33_03.csv,12/07/19 16:33
02762,results_MA/02762_CI1_120719_16_33_03.csv,12/07/19 16:33
01223,results_MA/01223_CI4_120719_16_33_04.csv,12/07/19 16:33
02655,results_MA/02655_CI2_120719_16_33_05.csv,12/07/19 16:33
01202,results_MA/01202_CI4_120719_16_33_05.csv,12/07/19 16:33
