date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
2020-03-24,Eversource,"Clearview Electric, Inc.",82356,False,56,12,,50.00,0.00,1.00,Fixed,0.1019,,0.00,"Electric vehicle charger rebate and free weekend EV charging, not to exceed 250 kWhrs per month. Contact supplier for details.",False,False,76.43,-5.83
2020-03-24,Eversource,Think Energy,113546,False,57,18,,45.00,0.00,1.00,Fixed,0.1020,,0.00,,False,True,76.50,-5.89
2020-03-24,Eversource,"Discount Power, Inc.",115321,False,58,24,,50.00,0.00,1.00,Fixed,0.1030,,0.00,Includes monthly online shopping/dining rewards program.,True,True,77.25,-6.64
2020-03-24,Eversource,"Liberty Power Holdings, LLC",118561,False,59,24,,50.00,0.00,1.00,Fixed,0.1046,,0.00,Contact supplier for renewable energy information.,False,False,78.48,-7.87
2020-03-24,Eversource,Think Energy,113521,False,60,12,,45.00,0.00,1.00,Fixed,0.1070,,0.00,,False,True,80.25,-9.64
2020-03-24,Eversource,"Connecticut Gas &amp; Electric, Inc.",117791,False,61,24,,50.00,0.00,1.00,Fixed,0.1089,,0.00,,False,False,81.68,-11.08
2020-03-24,Eversource,"Connecticut Gas &amp; Electric, Inc.",117801,False,62,36,,50.00,0.00,1.00,Fixed,0.1089,,0.00,,False,False,81.68,-11.08
2020-03-24,Eversource,"Constellation NewEnergy, Inc.",117681,False,63,12,,50.00,0.00,1.00,Fixed,0.1089,,0.00,,False,False,81.68,-11.08
2020-03-24,Eversource,Ambit Energy,114286,False,64,12,,0.00,0.00,0.29,Fixed,0.1100,,0.00,,False,False,82.50,-11.89
2020-03-24,Eversource,"Connecticut Gas &amp; Electric, Inc.",117786,False,65,12,,50.00,0.00,1.00,Fixed,0.1109,,0.00,,False,False,83.18,-12.58
2020-03-24,Eversource,Think Energy,113516,False,66,6,,45.00,0.00,1.00,Fixed,0.1120,,0.00,,False,True,84.00,-13.39
2020-03-24,Eversource,Town Square Energy,97691,False,67,12,,0.00,0.00,1.00,Fixed,0.1187,,0.00,,False,False,89.03,-18.42
2020-03-24,Eversource,"Connecticut Gas &amp; Electric, Inc.",117806,False,68,48,,50.00,0.00,1.00,Fixed,0.1199,,0.00,,False,False,89.93,-19.33
2020-03-24,Eversource,"Choice Energy, LLC",115186,False,69,24,,50.00,0.00,0.29,Fixed,0.1279,,0.00,"Effective 1/1/2020.   Offered until 12/31/2020, but may expire earlier at supplier's discretion.",False,True,95.93,-25.33
2020-03-24,Eversource,Ambit Energy,114291,False,70,12,,0.00,0.00,1.00,Fixed,0.1300,,0.00,,False,False,97.50,-26.89
