date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
04/15/2020 11:59:58,Eversource,"Constellation NewEnergy, Inc.",119211,False,53,12,,50.00,0.00,1.00,Fixed,0.0949,,0.00,,False,False,71.18,-0.58
04/15/2020 11:59:58,Eversource,"Viridian Energy, LLC",118041,False,54,24,,50.00,0.00,0.50,Fixed,0.0971,,0.00,,False,False,72.83,-2.22
04/15/2020 11:59:58,Eversource,"Connecticut Gas &amp; Electric, Inc.",117836,False,55,18,,50.00,0.00,0.29,Fixed,0.0979,,0.00,,False,False,73.43,-2.83
04/15/2020 11:59:58,Eversource,"XOOM Energy Connecticut, LLC",117751,False,56,12,,50.00,0.00,0.29,Fixed,0.0979,,0.00,Supplier will make a charitable donation based on customer usage. Contact XOOM for details.,False,False,73.43,-2.83
04/15/2020 11:59:58,Eversource,Think Energy,113551,False,57,24,,45.00,0.00,1.00,Fixed,0.0980,,0.00,,False,True,73.50,-2.89
04/15/2020 11:59:58,Eversource,"Viridian Energy, LLC",118036,False,58,12,,50.00,0.00,0.50,Fixed,0.0980,,0.00,,False,False,73.50,-2.89
04/15/2020 11:59:58,Eversource,"Starion Energy, Inc.",119916,False,59,12,,0.00,0.00,1.00,Fixed,0.0999,,0.00,Contact supplier regarding the renewable energy content of this offer.,False,True,74.93,-4.33
04/15/2020 11:59:58,Eversource,"Clearview Electric, Inc.",82356,False,60,12,,50.00,0.00,1.00,Fixed,0.1019,,0.00,"Electric vehicle charger rebate and free weekend EV charging, not to exceed 250 kWhrs per month. Contact supplier for details.",False,False,76.43,-5.83
04/15/2020 11:59:58,Eversource,Think Energy,113546,False,61,18,,45.00,0.00,1.00,Fixed,0.1020,,0.00,,False,True,76.50,-5.89
04/15/2020 11:59:58,Eversource,"Liberty Power Holdings, LLC",119606,False,62,24,,50.00,0.00,1.00,Fixed,0.1031,,0.00,$30 Gift Card Offer upon completion of plan’s 6th billing cycle.,False,False,77.33,-6.72
04/15/2020 11:59:58,Eversource,Think Energy,113521,False,63,12,,45.00,0.00,1.00,Fixed,0.1070,,0.00,,False,True,80.25,-9.64
04/15/2020 11:59:58,Eversource,"Connecticut Gas &amp; Electric, Inc.",117791,False,64,24,,50.00,0.00,1.00,Fixed,0.1089,,0.00,,False,False,81.68,-11.08
04/15/2020 11:59:59,Eversource,"Connecticut Gas &amp; Electric, Inc.",117801,False,65,36,,50.00,0.00,1.00,Fixed,0.1089,,0.00,,False,False,81.68,-11.08
04/15/2020 11:59:59,Eversource,Ambit Energy,114286,False,66,12,,0.00,0.00,0.29,Fixed,0.1100,,0.00,,False,False,82.50,-11.89
04/15/2020 11:59:59,Eversource,"Connecticut Gas &amp; Electric, Inc.",117786,False,67,12,,50.00,0.00,1.00,Fixed,0.1109,,0.00,,False,False,83.18,-12.58
04/15/2020 11:59:59,Eversource,Think Energy,113516,False,68,6,,45.00,0.00,1.00,Fixed,0.1120,,0.00,,False,True,84.00,-13.39
04/15/2020 11:59:59,Eversource,Town Square Energy,97691,False,69,12,,0.00,0.00,1.00,Fixed,0.1187,,0.00,,False,False,89.03,-18.42
04/15/2020 11:59:59,Eversource,"Connecticut Gas &amp; Electric, Inc.",117806,False,70,48,,50.00,0.00,1.00,Fixed,0.1199,,0.00,,False,False,89.93,-19.33
04/15/2020 11:59:59,Eversource,"Choice Energy, LLC",115186,False,71,24,,50.00,0.00,0.29,Fixed,0.1279,,0.00,"Effective 1/1/2020.   Offered until 12/31/2020, but may expire earlier at supplier's discretion.",False,True,95.93,-25.33
04/15/2020 11:59:59,Eversource,Ambit Energy,114291,False,72,12,,0.00,0.00,1.00,Fixed,0.1300,,0.00,,False,False,97.50,-26.89
